label,co2(ppm),methane(ppb),nitrous_oxide(ppvb),primary_energy_consumption (trillion BTUs),population
0,12048,964,549,759.169,10697576
0,12018.1,945,554,771.123,10778764
0,10771.2,937,563,720.311,10859934
0,11454.4,926,613,767.655,10938735
0,10502.6,901,488,716.501,11013860
0,10238.6,884,493,686.54,11085355
0,10265.2,863,477,705.211,11154008
0,9686.8,854,474,655.32,11221225
0,10105.6,854,479,664.573,11287931
0,9987.2,845,449,716.316,11354407
0,9944.8,818,444,724.023,11419752
0,10022.7,820,446,718.624,11482180
0,31.1,616,14,1.433,187554
0,40.7,628,14,1.624,191136
0,35.5,642,15,1.361,194324
0,37.7,652,15,1.358,197625
0,37.4,665,14,1.295,201679
0,37.7,556,14,1.602,206962
0,30.8,451,12,1.431,213660
0,38.8,343,11,2.21,221575
0,37,243,14,2.173,230248
0,34.8,134,13,2.261,238979
0,39.6,30,14,2.414,247310
0,44.7,26,13,2.657,255068
0,43.2,29,21,2.571,262387
0,43.2,39,36,2.522,269428
0,39.2,28,12,2.43,276516
0,42.1,33,18,2.602,283798
0,44.3,36,14,2.993,291338
0,47.6,45,19,2.824,299031
0,43.6,47,16,2.732,306822
0,51.7,50,17,2.847,314655
0,53.9,56,16,3.38,322465
0,55.3,70,34,2.948,330236
0,45.1,53,17,3.063,338001
0,44,59,28,3.338,345707
0,46.9,49,24,3.32,353366
0,64.1,50,26,3.67,360926
0,62.3,52,26,3.674,368399
0,61.6,56,27,4.083,375775
0,60.5,54,22,3.647,383071
0,63.1,310,184,2.557,4978489
0,73.3,321,190,2.988,5149496
0,78.8,326,193,3.32,5331805
0,95.8,329,195,3.651,5521761
0,109.8,348,206,3.82,5714215
0,111.7,333,201,4.123,5905552
0,115.1,374,230,4.501,6094272
0,119.5,375,236,4.869,6281644
0,111.4,449,267,5.248,6470275
0,146.2,422,257,2.577,6664102
0,147.3,425,264,6.865,6865946
0,168.9,336,205,7.813,7076728
1,211,368,237,8.952,7295400
1,239.4,364,211,10.394,7520556
1,259.4,365,202,10.959,7750003
1,249,415,250,10.288,7982223
1,335.1,406,225,14.061,8216893
1,393.1,424,233,16.598,8454790
1,391.9,422,212,16.975,8696915
1,422.5,440,224,18.845,8944713
1,467.9,453,228,21.612,9199254
1,448,473,236,20.148,9460829
1,440.3,484,240,19.122,9729254
1,456.6,508,252,19.484,10004594
1,479.6,509,251,20.598,10286839
1,532.6,523,248,22.781,10575962
1,660,539,268,27.779,10872072
1,693.8,544,259,29.459,11175192
1,725.5,555,295,32.68,11485035
0,12.8,85,18,3.73,530801
0,17.5,85,17,3.798,534637
0,20.5,82,17,3.858,534525
0,17.2,82,17,3.873,532590
0,20.2,82,17,4.14,531905
0,23.6,87,18,4.421,534629
0,28.4,86,17,4.847,541471
0,37.5,87,18,4.884,551713
0,36.8,88,18,4.776,564378
0,37.2,92,19,4.825,577886
